Finding Name,Severity,Status,Description,Recommendation,Vulnerability References,Affected Components,Tags
Pod Using HostPath Volume,Medium,Open,DaemonSet 'kube-proxy' (1 pods) in namespace 'kube-system' uses hostPath volume: '/run/xtables.lock'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/kube-proxy,"EKS,Kubernetes,Security,Pod"
Pod Using HostPath Volume,Medium,Open,DaemonSet 'kube-proxy' (1 pods) in namespace 'kube-system' uses hostPath volume: '/lib/modules'.,"Avoid hostPath volumes. If necessary, use readOnly mounts and specific paths. Consider alternatives like PVs.",CIS 5.2.12,kube-system/kube-proxy,"EKS,Kubernetes,Security,Pod"
Privileged Container,Critical,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') is running in privileged mode.,Do not run privileged containers. Refactor the application if possible.,CIS 5.2.2,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Container May Run As Root,Low,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') has no runAsNonRoot or runAsUser specified (default allows root). Image may run as root.,Explicitly set securityContext.runAsNonRoot: true and specify a runAsUser > 0.,CIS 5.2.7,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Container Missing Resource Limits,Low,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') lacks CPU and/or memory limits.,Define CPU and memory limits for all containers.,Best Practice,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Container Allows Privilege Escalation,Medium,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') allows privilege escalation (allowPrivilegeEscalation is not set to false).,Set securityContext.allowPrivilegeEscalation: false.,CIS 5.2.6,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Capabilities Not Dropped,Low,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') does not drop all Linux capabilities (capabilities.drop does not include 'ALL').,Set securityContext.capabilities.drop: ['ALL'] and only add back the specific capabilities required.,CIS 5.2.10,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Seccomp Profile Not Set,Low,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') does not have a seccomp profile configured. The container runtime default may or may not apply.,Explicitly set securityContext.seccompProfile.type to 'RuntimeDefault' to ensure syscall filtering is active.,CIS 5.6.2,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Container Root Filesystem Writable,Low,Open,Container 'kube-proxy' in DaemonSet 'kube-proxy' (1 pods) (namespace 'kube-system') does not have a read-only root filesystem.,Set securityContext.readOnlyRootFilesystem: true and use volumeMounts for writable directories.,CIS 5.6.3,kube-system/kube-proxy/kube-proxy,"EKS,Kubernetes,Security,Container"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'default' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,default/default,"EKS,Kubernetes,Security,ServiceAccount"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'insecure-app' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,insecure-app/default,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Using IRSA,Informational,Open,ServiceAccount 'insecure-sa' in namespace 'insecure-app' uses IAM role via IRSA: arn:aws:iam::123456789012:role/eks-enterprise-lab-irsa-overpermissive,Ensure the associated IAM role follows the principle of least privilege.,AWS Best Practice,insecure-app/insecure-sa,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'insecure-sa' in namespace 'insecure-app' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,insecure-app/insecure-sa,"EKS,Kubernetes,Security,ServiceAccount"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'kube-node-lease' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,kube-node-lease/default,"EKS,Kubernetes,Security,ServiceAccount"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'kube-public' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,kube-public/default,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'attachdetach-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/attachdetach-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'aws-cloud-provider' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/aws-cloud-provider,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'aws-node' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/aws-node,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'certificate-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/certificate-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'clusterrole-aggregation-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/clusterrole-aggregation-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'coredns' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/coredns,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'cronjob-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/cronjob-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'daemon-set-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/daemon-set-controller,"EKS,Kubernetes,Security,ServiceAccount"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'kube-system' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,kube-system/default,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'deployment-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/deployment-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'disruption-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/disruption-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'endpoint-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/endpoint-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'endpointslice-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/endpointslice-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'endpointslicemirroring-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/endpointslicemirroring-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'ephemeral-volume-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/ephemeral-volume-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'expand-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/expand-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'generic-garbage-collector' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/generic-garbage-collector,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'horizontal-pod-autoscaler' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/horizontal-pod-autoscaler,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'job-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/job-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'kube-proxy' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/kube-proxy,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'legacy-service-account-token-cleaner' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/legacy-service-account-token-cleaner,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'namespace-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/namespace-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'node-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/node-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'persistent-volume-binder' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/persistent-volume-binder,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'pod-garbage-collector' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/pod-garbage-collector,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'pv-protection-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/pv-protection-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'pvc-protection-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/pvc-protection-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'replicaset-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/replicaset-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'replication-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/replication-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'resourcequota-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/resourcequota-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'root-ca-cert-publisher' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/root-ca-cert-publisher,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'service-account-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/service-account-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'service-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/service-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'statefulset-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/statefulset-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'tagging-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/tagging-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'ttl-after-finished-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/ttl-after-finished-controller,"EKS,Kubernetes,Security,ServiceAccount"
Service Account Token Automount Enabled,Medium,Open,ServiceAccount 'ttl-controller' in namespace 'kube-system' has automountServiceAccountToken enabled (or default). Tokens might be mounted unnecessarily in pods using this SA.,Set automountServiceAccountToken: false on the ServiceAccount unless pods using it specifically need the token (prefer mounting projected tokens if needed).,CIS 5.1.6,kube-system/ttl-controller,"EKS,Kubernetes,Security,ServiceAccount"
Default Service Account Allows Token Automount,Medium,Open,The 'default' ServiceAccount in namespace 'psa-warn' allows token automounting by default.,Explicitly set automountServiceAccountToken: false on the 'default' ServiceAccount and use dedicated SAs for pods.,CIS 5.1.6,psa-warn/default,"EKS,Kubernetes,Security,ServiceAccount"
ClusterRoleBinding Grants High Privileges,High,Open,ClusterRoleBinding 'cluster-admin' grants highly privileged cluster role 'cluster-admin' to 'Group:system:masters'. Granting cluster-wide admin/edit rights is highly risky.,Avoid binding cluster-admin or similar roles directly. Use namespace-scoped roles (RoleBinding) or custom cluster roles with least privilege necessary.,CIS 5.1.1,cluster-admin,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding Involves Default Service Account,Medium,Open,ClusterRoleBinding 'default-sa-wildcard-binding' grants cluster role 'wildcard-role' to the 'default' ServiceAccount in namespace 'insecure-app'. All pods without an explicit SA in that namespace inherit these cluster-wide permissions.,"Avoid granting permissions to the 'default' service account. Create and use dedicated service accounts for applications with specific, minimal roles.",CIS 5.1.5,default-sa-wildcard-binding,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding Grants High Privileges,High,Open,ClusterRoleBinding 'eks:addon-cluster-admin' grants highly privileged cluster role 'cluster-admin' to 'User:eks:addon-manager'. Granting cluster-wide admin/edit rights is highly risky.,Avoid binding cluster-admin or similar roles directly. Use namespace-scoped roles (RoleBinding) or custom cluster roles with least privilege necessary.,CIS 5.1.1,eks:addon-cluster-admin,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding Grants High Privileges,High,Open,ClusterRoleBinding 'insecure-admin-binding' grants highly privileged cluster role 'cluster-admin' to 'ServiceAccount:insecure-app/insecure-sa'. Granting cluster-wide admin/edit rights is highly risky.,Avoid binding cluster-admin or similar roles directly. Use namespace-scoped roles (RoleBinding) or custom cluster roles with least privilege necessary.,CIS 5.1.1,insecure-admin-binding,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding to Sensitive Subject,Medium,Open,ClusterRoleBinding 'system:basic-user' grants cluster role 'system:basic-user' to potentially sensitive subject 'Group:system:authenticated'.,"Review bindings to system groups and default service accounts, especially in kube-system. Ensure the granted role is appropriate and necessary.",CIS 5.1.1 / Best Practice,system:basic-user,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding to Sensitive Subject,Medium,Open,ClusterRoleBinding 'system:discovery' grants cluster role 'system:discovery' to potentially sensitive subject 'Group:system:authenticated'.,"Review bindings to system groups and default service accounts, especially in kube-system. Ensure the granted role is appropriate and necessary.",CIS 5.1.1 / Best Practice,system:discovery,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding to Sensitive Subject,Medium,Open,ClusterRoleBinding 'system:public-info-viewer' grants cluster role 'system:public-info-viewer' to potentially sensitive subject 'Group:system:authenticated'.,"Review bindings to system groups and default service accounts, especially in kube-system. Ensure the granted role is appropriate and necessary.",CIS 5.1.1 / Best Practice,system:public-info-viewer,"EKS,Kubernetes,Security,ClusterRoleBinding"
ClusterRoleBinding to Sensitive Subject,Medium,Open,ClusterRoleBinding 'system:public-info-viewer' grants cluster role 'system:public-info-viewer' to potentially sensitive subject 'Group:system:unauthenticated'.,"Review bindings to system groups and default service accounts, especially in kube-system. Ensure the granted role is appropriate and necessary.",CIS 5.1.1 / Best Practice,system:public-info-viewer,"EKS,Kubernetes,Security,ClusterRoleBinding"
Role Contains Risky Permissions,Medium,Open,"ClusterRole 'cluster-admin' (namespace: (cluster)) contains rule 1 with potentially risky permissions: wildcard verb ('*'), wildcard resource ('*'), wildcard apiGroup ('*'), sensitive verbs (['*']) on sensitive resources (['*']).","Review the permissions granted by ClusterRole 'cluster-admin', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,cluster-admin,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:addon-manager' (namespace: (cluster)) contains rule 3 with potentially risky permissions: sensitive verbs (['update']) on sensitive resources (['nodes']).,"Review the permissions granted by ClusterRole 'eks:addon-manager', particularly rule 3. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:addon-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:addon-manager' (namespace: (cluster)) contains rule 4 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:addon-manager', particularly rule 4. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:addon-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,"ClusterRole 'eks:addon-manager' (namespace: (cluster)) contains rule 5 with potentially risky permissions: sensitive verbs (['create', 'delete', 'patch', 'update']) on sensitive resources (['clusterrolebindings']).","Review the permissions granted by ClusterRole 'eks:addon-manager', particularly rule 5. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:addon-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,"ClusterRole 'eks:addon-manager' (namespace: (cluster)) contains rule 6 with potentially risky permissions: sensitive verbs (['create', 'delete', 'patch', 'update']) on sensitive resources (['clusterroles']).","Review the permissions granted by ClusterRole 'eks:addon-manager', particularly rule 6. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:addon-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:az-poller' (namespace: (cluster)) contains rule 3 with potentially risky permissions: sensitive verbs (['patch']) on sensitive resources (['nodes']).,"Review the permissions granted by ClusterRole 'eks:az-poller', particularly rule 3. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:az-poller,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:fargate-manager' (namespace: (cluster)) contains rule 1 with potentially risky permissions: sensitive verbs (['delete']) on sensitive resources (['pods']).,"Review the permissions granted by ClusterRole 'eks:fargate-manager', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:fargate-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:fargate-scheduler' (namespace: (cluster)) contains rule 8 with potentially risky permissions: sensitive verbs (['delete']) on sensitive resources (['nodes']).,"Review the permissions granted by ClusterRole 'eks:fargate-scheduler', particularly rule 8. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:fargate-scheduler,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:kms-storage-migrator' (namespace: (cluster)) contains rule 1 with potentially risky permissions: sensitive verbs (['patch']) on sensitive resources (['secrets']).,"Review the permissions granted by ClusterRole 'eks:kms-storage-migrator', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:kms-storage-migrator,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:node-manager' (namespace: (cluster)) contains rule 1 with potentially risky permissions: sensitive verbs (['delete']) on sensitive resources (['pods']).,"Review the permissions granted by ClusterRole 'eks:node-manager', particularly rule 1. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:node-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:node-manager' (namespace: (cluster)) contains rule 2 with potentially risky permissions: sensitive verbs (['patch']) on sensitive resources (['nodes']).,"Review the permissions granted by ClusterRole 'eks:node-manager', particularly rule 2. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:node-manager,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 4 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 4. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
Role Contains Risky Permissions,Medium,Open,ClusterRole 'eks:service-operations' (namespace: (cluster)) contains rule 5 with potentially risky permissions: wildcard resource ('*').,"Review the permissions granted by ClusterRole 'eks:service-operations', particularly rule 5. Apply the principle of least privilege, avoiding wildcards and overly broad sensitive permissions.",CIS 5.1.3,eks:service-operations,"EKS,Kubernetes,Security,ClusterRole"
